8.40.674.366 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
8.44.220.334 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5832, progress = 1.00, t =   3.55 s / 1644.70 tokens per second
8.44.462.440 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5854, progress = 1.00, t =   3.79 s / 1545.39 tokens per second
8.47.583.592 I slot print_timing: id  0 | task 0 | n_decoded =    198, tg =  65.77 t/s, tg_3s =  65.77 t/s
8.50.593.416 I slot print_timing: id  0 | task 0 | n_decoded =    396, tg =  65.78 t/s, tg_3s =  65.78 t/s
8.53.602.425 I slot print_timing: id  0 | task 0 | n_decoded =    591, tg =  65.45 t/s, tg_3s =  64.81 t/s
8.56.609.234 I slot print_timing: id  0 | task 0 | n_decoded =    774, tg =  64.31 t/s, tg_3s =  60.86 t/s
8.59.615.893 I slot print_timing: id  0 | task 0 | n_decoded =    951, tg =  63.22 t/s, tg_3s =  58.87 t/s
9.02.622.826 I slot print_timing: id  0 | task 0 | n_decoded =   1135, tg =  62.88 t/s, tg_3s =  61.19 t/s
9.05.631.689 I slot print_timing: id  0 | task 0 | n_decoded =   1331, tg =  63.20 t/s, tg_3s =  65.14 t/s
9.08.637.211 I slot print_timing: id  0 | task 0 | n_decoded =   1526, tg =  63.41 t/s, tg_3s =  64.88 t/s
9.11.644.487 I slot print_timing: id  0 | task 0 | n_decoded =   1713, tg =  63.28 t/s, tg_3s =  62.18 t/s
9.14.653.139 I slot print_timing: id  0 | task 0 | n_decoded =   1902, tg =  63.23 t/s, tg_3s =  62.82 t/s
9.17.002.174 I slot print_timing: id  0 | task 0 | prompt eval time =    3898.64 ms /  5858 tokens (    0.67 ms per token,  1502.58 tokens per second)
9.17.002.179 I slot print_timing: id  0 | task 0 |        eval time =   32429.11 ms /  2054 tokens (   15.79 ms per token,    63.34 tokens per second)
9.17.002.180 I slot print_timing: id  0 | task 0 |       total time =   36327.75 ms /  7912 tokens
9.17.002.186 I slot print_timing: id  0 | task 0 |    graphs reused =       2045
9.17.003.028 I slot      release: id  0 | task 0 | stop processing: n_tokens = 7911, truncated = 0
